scenario,workload,partitions,replicas,iteration,commits,tps,success
1P-NoRep,new_order,1,1,1,0,0,True
1P-NoRep,new_order,1,1,2,0,0,True
1P-NoRep,mixed,1,1,1,2,0.1,True
1P-NoRep,mixed,1,1,2,0,0,True
1P-NoRep,payment,1,1,1,0,0,True
1P-NoRep,payment,1,1,2,0,0,True
1P-3Rep,new_order,1,3,1,0,0,True
1P-3Rep,new_order,1,3,2,0,0,True
1P-3Rep,mixed,1,3,1,0,0,True
1P-3Rep,mixed,1,3,2,0,0,True
1P-3Rep,payment,1,3,1,0,0,True
1P-3Rep,payment,1,3,2,0,0,True
2P-NoRep,new_order,2,1,1,0,0,True
2P-NoRep,new_order,2,1,2,46,2.3,True
2P-NoRep,mixed,2,1,1,0,0,True
2P-NoRep,mixed,2,1,2,0,0,True
2P-NoRep,payment,2,1,1,0,0,True
2P-NoRep,payment,2,1,2,0,0,True
2P-3Rep,new_order,2,3,1,0,0,True
2P-3Rep,new_order,2,3,2,219,10.95,True
2P-3Rep,mixed,2,3,1,0,0,True
2P-3Rep,mixed,2,3,2,0,0,True
2P-3Rep,payment,2,3,1,0,0,True
2P-3Rep,payment,2,3,2,0,0,True
