I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 4
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 4
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 1
I [/home/dp012/Desktop/gitmac/mako-pr/src/deptran/marshal-value.cc:7] 2025-12-04 12:47:25.346 | Marshal Value kind: 4
