Time, PID, Process, %CPU, %MEM, RSS(KB), VSZ(KB), Threads, TotalMem(KB), UsedMem(KB), FreeMem(KB), SwapUsed(KB), ALERT
2025-11-21 03:00:30,54812,dbtest,228,2.7,339980,1702328,16,12200496,1173384,9550844,638068,
2025-11-21 03:00:31,54812,dbtest,214,4.6,565024,1937848,14,12200496,1399816,9324412,638068,
2025-11-21 03:00:32,54812,dbtest,180,5.2,643172,2044344,14,12200496,1835444,8888808,638068,
2025-11-21 03:00:32,54861,dbtest,243,2.9,358016,1735096,16,12200496,1835444,8888808,638068,
2025-11-21 03:00:33,54812,dbtest,164,5.8,713548,2093496,14,12200496,2134452,8589800,638068,
2025-11-21 03:00:33,54861,dbtest,231,4.6,571388,1966520,14,12200496,2134452,8589800,638068,
2025-11-21 03:00:34,54812,dbtest,139,6.0,732340,2140592,13,12200496,2239912,8484336,638068,
2025-11-21 03:00:34,54861,dbtest,192,5.3,655424,2044344,14,12200496,2239912,8484336,638068,
2025-11-21 03:00:35,54861,dbtest,175,6.2,766708,3163600,25,12200496,2394724,8329524,638068,
2025-11-21 03:00:35,54812,dbtest,123,6.2,766488,3163600,25,12200496,2394724,8329524,638068,
2025-11-21 03:00:36,54861,dbtest,185,6.4,782708,3163600,25,12200496,2411976,8312248,638068,
2025-11-21 03:00:36,54812,dbtest,138,6.4,782488,3163600,25,12200496,2411976,8312248,638068,
2025-11-21 03:00:37,54861,dbtest,192,6.5,797172,3163600,25,12200496,2438688,8285536,638068,
2025-11-21 03:00:37,54812,dbtest,149,6.5,796568,3163600,25,12200496,2438688,8285536,638068,
2025-11-21 03:00:38,54861,dbtest,197,6.7,822576,3188176,25,12200496,2492180,8232044,638068,
2025-11-21 03:00:38,54812,dbtest,158,6.7,819836,3181008,25,12200496,2492180,8232044,638068,
2025-11-21 03:00:39,54861,dbtest,201,6.8,840044,3188176,25,12200496,2533196,8191028,638068,
2025-11-21 03:00:39,54812,dbtest,165,6.8,839220,3188176,25,12200496,2533196,8191028,638068,
2025-11-21 03:00:40,54812,dbtest,171,7.0,856244,3188176,25,12200496,2563940,8160284,638068,
2025-11-21 03:00:40,54861,dbtest,202,6.9,852844,3188176,25,12200496,2563940,8160284,638068,
2025-11-21 03:00:42,54812,dbtest,175,7.2,884408,3216848,25,12200496,2607104,8117124,638068,
2025-11-21 03:00:42,54861,dbtest,203,7.1,873744,3204560,25,12200496,2607104,8117124,638068,
2025-11-21 03:00:43,54812,dbtest,180,7.3,900280,3220944,25,12200496,2640612,8083608,638068,
2025-11-21 03:00:43,54861,dbtest,204,7.2,888412,3204560,25,12200496,2640612,8083608,638068,
2025-11-21 03:00:44,54812,dbtest,186,8.2,1001912,3314128,25,12200496,2749476,7974744,638068,
2025-11-21 03:00:44,54861,dbtest,204,7.3,899420,3208656,25,12200496,2749476,7974744,638068,
2025-11-21 03:00:45,54812,dbtest,194,10.6,1303052,3721680,25,12200496,3064164,7660056,638068,
2025-11-21 03:00:45,54861,dbtest,201,7.4,912876,3229136,25,12200496,3064164,7660056,638068,
2025-11-21 03:00:46,54812,dbtest,202,13.1,1609868,4022736,25,12200496,3380672,7343548,638068,
2025-11-21 03:00:46,54861,dbtest,200,7.5,920172,3229136,25,12200496,3380672,7343548,638068,
2025-11-21 03:00:47,54812,dbtest,198,15.4,1887628,4317648,25,12200496,3666432,7057780,638068,
2025-11-21 03:00:47,54861,dbtest,186,7.5,926956,3229136,25,12200496,3666432,7057780,638068,
2025-11-21 03:00:48,54812,dbtest,205,17.3,2115688,4587984,25,12200496,3903820,6820392,638068,
2025-11-21 03:00:48,54861,dbtest,187,7.6,930412,3229136,25,12200496,3903820,6820392,638068,
2025-11-21 03:00:49,54812,dbtest,211,19.2,2352300,4825552,25,12200496,4138180,6586032,638068,
